schemaVersion,warehouseId,warehouseName,brand,paletteName,warehouseCreatedAt,warehouseUpdatedAt,colorKey,hex,ownedCount,sourcePaletteName,isExtraColor,itemUpdatedAt,note
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,B3,#9EF780,541,96,false,2026-09-11T19:53:21.642Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,C3,#A0E2FB,541,96,false,2026-09-11T19:53:21.642Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,D9,#D5B9F8,541,96,false,2026-09-11T19:53:21.642Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,E2,#FEC0DF,395,96,false,2026-09-11T20:52:35.381Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,G1,#FFE2CE,541,96,false,2026-09-11T19:53:21.642Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,A4,#FBED56,364,96,false,2026-09-11T20:52:35.381Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,B5,#35E352,541,96,false,2026-09-11T19:53:21.642Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,C5,#01ACEB,541,96,false,2026-09-11T19:53:21.642Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,D6,#AC7BDE,541,96,false,2026-09-11T19:53:21.642Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,E4,#E8649E,535,96,false,2026-09-11T20:52:35.381Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,G5,#EDB045,296,96,false,2026-09-11T20:52:35.381Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,A6,#FEAC4C,482,96,false,2026-09-11T20:52:35.381Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,B8,#1C9C4F,244,96,false,2026-09-11T20:52:35.381Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,C8,#0F54C0,541,96,false,2026-09-11T19:53:21.642Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,D7,#8854B3,541,96,false,2026-09-11T19:53:21.642Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,F5,#E7002F,275,96,false,2026-09-11T20:52:35.381Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,G7,#9D5B3E,541,96,false,2026-09-11T19:53:21.642Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,A7,#FE8B4C,541,96,false,2026-09-11T19:53:21.642Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,H1,#FDFBFF,541,96,false,2026-09-11T19:53:21.642Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,H2,#FEFFFF,161,96,false,2026-09-11T20:52:35.381Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,H3,#B6B1BA,478,96,false,2026-09-11T20:52:35.381Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,H4,#89858C,541,96,false,2026-09-11T19:53:21.642Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,H5,#48464E,352,96,false,2026-09-11T20:52:35.381Z,User-confirmed starting stock: 541 per color
1,warehouse-1,亚麻96仓,MARD,96,2026-08-13T21:37:36.597Z,2026-09-11T20:52:35.381Z,H7,#000000,110,96,false,2026-09-11T20:52:35.381Z,User-confirmed starting stock: 541 per color
